sistema,variavel,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,incompletude_acumulada,classificacao
Dengue,Idade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Excelente
Dengue,Sexo,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,Excelente
Dengue,Gestante,16.4,18.5,27.6,30.1,34.6,28.7,25.5,12.6,19.3,17.6,17.2,16.9,16.6,22.7,13.8,15.8,20.9,Ruim
Dengue,Raça/Cor,18.4,16.3,25.6,27.9,47.5,30,15.8,7.9,11.3,9.6,13.9,7.5,8.2,20.3,7,4.6,17,Regular
Dengue,Escolaridade,39.5,40.2,28.7,22,33.5,16,16.9,16.3,31.1,17.3,20.7,23,20.9,30.8,22.7,29.1,25.5,Ruim
Chikungunya,Idade,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,Excelente
Chikungunya,Sexo,NA,NA,NA,NA,0,0,0,0.1,0.1,0,0,0.3,0,0,0.1,0.1,0.1,Excelente
Chikungunya,Gestante,NA,NA,NA,NA,0,13.1,13.2,11.3,12.7,15,12.5,17.1,13.9,18.6,12.1,13.3,12.7,Regular
Chikungunya,Raça/Cor,NA,NA,NA,NA,14.3,10.6,2.1,6.5,9.2,10.3,7.3,4.9,5.6,4.1,10.4,5.2,7.5,Boa
Chikungunya,Escolaridade,NA,NA,NA,NA,28.6,26.8,18.3,15.3,46.9,13.3,13.7,18.3,19.1,20.8,28.2,20.2,22.5,Ruim
Zika,Idade,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,Excelente
Zika,Sexo,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,Excelente
Zika,Gestante,NA,NA,NA,NA,NA,28.3,18.9,17.5,23.1,23.2,15.6,15.2,9.8,23.1,10,15.8,18.2,Regular
Zika,Raça/Cor,NA,NA,NA,NA,NA,30.5,9.8,4.8,7.3,10.1,12.4,2,2.2,10.3,0.8,0.5,8.2,Boa
Zika,Escolaridade,NA,NA,NA,NA,NA,55.7,39.9,41.2,45.8,37.8,37.7,25.3,31,49,42.4,21.4,38.8,Ruim
